"Race ID, Date R (16 digits)","By formula, (1) Win (2) Double win (3) Frame ream (4) Maren (5) Wide (6) Horse single (7) Triple double (8) Triple single","Method, (1) Normal (2) Formation (3) Box (4) Nagashi","Nagashi, (0) Unspecified (1) 1st (2) 2nd (3) 3rd (4) 1 axis (5) 2nd axis (6) 1st and 2nd (7) 1st and 3rd (8) 2nd and 3rd
(Note) Specify only when the method is long. The effective combination of formula, method, and length is based on PAT.","multi, 0 or 1","Buy eyes 1, Binary 18 digits","Buy eyes 2, Same as above","Buy eyes 3, Same as above
(Note) Set 1 for the applicable horse number. In some cases, the opponent always uses the buy eye 3 and does not use the buy eye 2.","amount, 1-100"
2010061305030801,1,1,0,0,100000000000000000,000000000000000000,000000000000000000,27
2010061305030801,7,1,0,0,100000000000000000,000100000000000000,000000100000000000,8
2010061305030801,7,1,0,0,100000000000000000,000001000000000000,000000100000000000,5
2010061305030801,7,1,0,0,100000000000000000,000000100000000000,000000010000000000,3
2010061305030801,8,1,0,0,100000000000000000,000000100000000000,000100000000000000,1
2010061305030801,8,1,0,0,000000100000000000,100000000000000000,000100000000000000,1
2010061305030801,8,1,0,0,100000000000000000,000100000000000000,000000100000000000,1
2010061305030801,8,1,0,0,000000100000000000,000100000000000000,100000000000000000,1
2010061305030801,8,1,0,0,100000000000000000,000000100000000000,000001000000000000,1
2010061305030801,8,1,0,0,000000100000000000,100000000000000000,000001000000000000,1
2010061305030801,8,1,0,0,000100000000000000,100000000000000000,000000100000000000,1
2010061305030801,8,1,0,0,000100000000000000,000000100000000000,100000000000000000,1
2010061305030802,1,1,0,0,000000000001000000,000000000000000000,000000000000000000,35
2010061305030802,7,1,0,0,000000001000000000,000000000001000000,000000000000001000,4
2010061305030802,7,1,0,0,000010000000000000,000000000001000000,000000000000001000,4
2010061305030802,7,1,0,0,000000100000000000,000000000001000000,000000000000001000,3
2010061305030802,8,1,0,0,000000000001000000,000000000000001000,000000001000000000,1
2010061305030802,8,1,0,0,000000000001000000,000000000000001000,000010000000000000,1
2010061305030802,8,1,0,0,000000000001000000,000000001000000000,000000000000001000,1
2010061305030802,8,1,0,0,000000000001000000,000010000000000000,000000000000001000,1
2010061305030803,1,1,0,0,000000000010000000,000000000000000000,000000000000000000,25
2010061305030803,7,1,0,0,000010000000000000,000000100000000000,000000000010000000,3
2010061305030803,7,1,0,0,100000000000000000,000010000000000000,000000000010000000,3
2010061305030803,7,1,0,0,000010000000000000,000000000100000000,000000000010000000,3
2010061305030804,1,1,0,0,000000010000000000,000000000000000000,000000000000000000,35
2010061305030804,7,1,0,0,000100000000000000,000000010000000000,000000000000000001,5
2010061305030804,7,1,0,0,000000010000000000,000000000010000000,000000000000000001,5
2010061305030804,7,1,0,0,000000010000000000,000000000000010000,000000000000000001,3
2010061305030804,8,1,0,0,000000010000000000,000000000000000001,000100000000000000,1
2010061305030804,8,1,0,0,000000010000000000,000000000000000001,000000000010000000,1
2010061305030804,8,1,0,0,000000010000000000,000100000000000000,000000000000000001,1
2010061305030804,8,1,0,0,000000000000000001,000000010000000000,000100000000000000,1
2010061305030804,8,1,0,0,000000010000000000,000000000010000000,000000000000000001,1
2010061305030804,8,1,0,0,000000000000000001,000000010000000000,000000000010000000,1
2010061305030804,8,1,0,0,000000010000000000,000000000000000001,000000000000010000,1
2010061305030805,1,1,0,0,000000000100000000,000000000000000000,000000000000000000,19
2010061305030805,7,1,0,0,010000000000000000,000000100000000000,000000000100000000,2
2010061305030805,7,1,0,0,000000100000000000,000000000100000000,000000000010000000,2
2010061305030805,7,1,0,0,000000100000000000,000000000100000000,000000000000000100,2
2010061305030806,1,1,0,0,010000000000000000,000000000000000000,000000000000000000,21
2010061305030806,7,1,0,0,010000000000000000,000010000000000000,000000000000000010,2
2010061305030806,7,1,0,0,010000000000000000,000000000000000100,000000000000000010,2
2010061305030806,7,1,0,0,010000000000000000,000001000000000000,000000000000000010,1
2010061305030807,1,1,0,0,000000100000000000,000000000000000000,000000000000000000,16
2010061305030807,7,1,0,0,000000100000000000,000000000000000100,000000000000000001,1
2010061305030807,7,1,0,0,000000100000000000,000000000010000000,000000000000000001,1
2010061305030808,1,1,0,0,000000000000001000,000000000000000000,000000000000000000,24
2010061305030808,7,1,0,0,000000001000000000,000000000100000000,000000000000001000,4
2010061305030808,7,1,0,0,000000001000000000,000000000010000000,000000000000001000,2
2010061305030808,7,1,0,0,000100000000000000,000000001000000000,000000000000001000,2
2010061305030809,1,1,0,0,000000000100000000,000000000000000000,000000000000000000,14
2010061305030809,7,1,0,0,000000100000000000,000000000100000000,000000000000000100,1
2010061305030809,7,1,0,0,000000100000000000,000000010000000000,000000000100000000,1
2010061305030810,1,1,0,0,010000000000000000,000000000000000000,000000000000000000,28
2010061305030810,7,1,0,0,010000000000000000,000000000010000000,000000000001000000,3
2010061305030810,7,1,0,0,010000000000000000,000000000001000000,000000000000100000,2
2010061305030811,1,1,0,0,010000000000000000,000000000000000000,000000000000000000,18
2010061305030811,7,1,0,0,010000000000000000,000000010000000000,000000000000000100,1
2010061305030811,7,1,0,0,010000000000000000,001000000000000000,000000010000000000,1
2010061305030812,1,1,0,0,000000000000010000,000000000000000000,000000000000000000,17
2010061305030812,7,1,0,0,100000000000000000,001000000000000000,000000000000010000,2
2010061305030812,7,1,0,0,001000000000000000,000000000000010000,000000000000001000,2
2010061305030812,7,1,0,0,001000000000000000,000000001000000000,000000000000010000,2
2010061308040801,1,1,0,0,000100000000000000,000000000000000000,000000000000000000,34
2010061308040801,7,1,0,0,000100000000000000,000001000000000000,000000010000000000,7
2010061308040801,7,1,0,0,000100000000000000,000000010000000000,000000000000010000,6
2010061308040801,7,1,0,0,000100000000000000,000010000000000000,000000010000000000,6
2010061308040801,8,1,0,0,000100000000000000,000000010000000000,000001000000000000,1
2010061308040801,8,1,0,0,000100000000000000,000000010000000000,000000000000010000,1
2010061308040801,8,1,0,0,000100000000000000,000000010000000000,000010000000000000,1
2010061308040801,8,1,0,0,000000010000000000,000100000000000000,000001000000000000,1
2010061308040801,8,1,0,0,000000010000000000,000100000000000000,000000000000010000,1
2010061308040801,8,1,0,0,000100000000000000,000001000000000000,000000010000000000,1
2010061308040801,8,1,0,0,000100000000000000,000000000000010000,000000010000000000,1
2010061308040801,8,1,0,0,000000010000000000,000100000000000000,000010000000000000,1
2010061308040801,8,1,0,0,000100000000000000,000010000000000000,000000010000000000,1
2010061308040802,1,1,0,0,000000100000000000,000000000000000000,000000000000000000,26
2010061308040802,7,1,0,0,000000100000000000,000000000100000000,000000000001000000,3
2010061308040802,7,1,0,0,000000100000000000,000000001000000000,000000000100000000,3
2010061308040802,7,1,0,0,000000100000000000,000000000100000000,000000000000001000,2
2010061308040803,1,1,0,0,000000000100000000,000000000000000000,000000000000000000,30
2010061308040803,7,1,0,0,001000000000000000,000000000100000000,000000000000000100,5
2010061308040803,7,1,0,0,001000000000000000,000001000000000000,000000000100000000,5
2010061308040803,7,1,0,0,001000000000000000,000000010000000000,000000000100000000,3
2010061308040803,8,1,0,0,000000000100000000,001000000000000000,000000000000000100,1
2010061308040803,8,1,0,0,000000000100000000,001000000000000000,000001000000000000,1
2010061308040803,8,1,0,0,000000000100000000,000000000000000100,001000000000000000,1
2010061308040803,8,1,0,0,000000000100000000,000001000000000000,001000000000000000,1
2010061308040803,8,1,0,0,001000000000000000,000000000100000000,000000000000000100,1
2010061308040803,8,1,0,0,001000000000000000,000000000100000000,000001000000000000,1
2010061308040804,1,1,0,0,000000010000000000,000000000000000000,000000000000000000,21
2010061308040804,7,1,0,0,010000000000000000,000000100000000000,000000010000000000,4
2010061308040804,7,1,0,0,010000000000000000,000000010000000000,000000000100000000,3
2010061308040805,1,1,0,0,000000000000100000,000000000000000000,000000000000000000,31
2010061308040805,7,1,0,0,000010000000000000,000000100000000000,000000000000100000,1
2010061308040805,7,1,0,0,000100000000000000,000000100000000000,000000000000100000,1
2010061308040805,7,1,0,0,000000100000000000,000000010000000000,000000000000100000,1
2010061308040806,1,1,0,0,100000000000000000,000000000000000000,000000000000000000,23
2010061308040806,7,1,0,0,100000000000000000,000000000010000000,000000000001000000,6
2010061308040806,7,1,0,0,100000000000000000,000000001000000000,000000000010000000,4
2010061308040806,7,1,0,0,100000000000000000,000100000000000000,000000000010000000,3
2010061308040806,8,1,0,0,100000000000000000,000000000010000000,000000000001000000,1
2010061308040806,8,1,0,0,000000000010000000,100000000000000000,000000000001000000,1
2010061308040806,8,1,0,0,100000000000000000,000000000001000000,000000000010000000,1
2010061308040806,8,1,0,0,000000000010000000,000000000001000000,100000000000000000,1
2010061308040807,1,1,0,0,000000000010000000,000000000000000000,000000000000000000,17
2010061308040807,7,1,0,0,000000010000000000,000000001000000000,000000000010000000,2
2010061308040807,7,1,0,0,000000010000000000,000000000100000000,000000000010000000,1
2010061308040807,7,1,0,0,000000010000000000,000000000010000000,000000000000010000,1
2010061308040808,1,1,0,0,000001000000000000,000000000000000000,000000000000000000,32
2010061308040808,7,1,0,0,001000000000000000,000001000000000000,000000000001000000,3
2010061308040808,7,1,0,0,001000000000000000,000001000000000000,000000000000000010,2
2010061308040808,7,1,0,0,001000000000000000,000001000000000000,000000001000000000,2
2010061308040809,1,1,0,0,000000000000100000,000000000000000000,000000000000000000,16
2010061308040809,7,1,0,0,010000000000000000,000000000100000000,000000000000100000,1
2010061308040809,7,1,0,0,010000000000000000,000010000000000000,000000000000100000,1
2010061308040810,1,1,0,0,000000001000000000,000000000000000000,000000000000000000,17
2010061308040810,7,1,0,0,000001000000000000,000000100000000000,000000001000000000,1
2010061308040810,7,1,0,0,000001000000000000,000000010000000000,000000001000000000,1
2010061308040811,1,1,0,0,010000000000000000,000000000000000000,000000000000000000,27
2010061308040811,7,1,0,0,010000000000000000,000000010000000000,000000000010000000,8
2010061308040811,7,1,0,0,010000000000000000,000000010000000000,000000001000000000,5
2010061308040811,8,1,0,0,010000000000000000,000000010000000000,000000000010000000,1
2010061308040811,8,1,0,0,010000000000000000,000000000010000000,000000010000000000,1
2010061308040811,8,1,0,0,000000010000000000,010000000000000000,000000000010000000,1
2010061308040811,8,1,0,0,000000000010000000,010000000000000000,000000010000000000,1
2010061308040811,8,1,0,0,000000010000000000,000000000010000000,010000000000000000,1
2010061308040811,8,1,0,0,000000000010000000,000000010000000000,010000000000000000,1
2010061308040811,8,1,0,0,010000000000000000,000000010000000000,000000001000000000,1
2010061308040811,8,1,0,0,000000010000000000,010000000000000000,000000001000000000,1
2010061308040812,1,1,0,0,000000000010000000,000000000000000000,000000000000000000,22
2010061308040812,7,1,0,0,000000000010000000,000000000000100000,000000000000000100,2
2010061308040812,7,1,0,0,000000000010000000,000000000001000000,000000000000000100,2
