Date/RaceID,By Formula,Method,Nagashi,Multi,Buy eyes 1,Buy eyes 2,Buy eyes 3,Amount
2010061305030800,1,1,0,0,100000000000000000,0,0,27
2010061305030800,7,1,0,0,100000000000000000,100000000000000,100000000000,8
2010061305030800,7,1,0,0,100000000000000000,1000000000000,100000000000,5
2010061305030800,7,1,0,0,100000000000000000,100000000000,10000000000,3
2010061305030800,8,1,0,0,100000000000000000,100000000000,100000000000000,1
2010061305030800,8,1,0,0,100000000000,100000000000000000,100000000000000,1
2010061305030800,8,1,0,0,100000000000000000,100000000000000,100000000000,1
2010061305030800,8,1,0,0,100000000000,100000000000000,100000000000000000,1
2010061305030800,8,1,0,0,100000000000000000,100000000000,1000000000000,1
2010061305030800,8,1,0,0,100000000000,100000000000000000,1000000000000,1
2010061305030800,8,1,0,0,100000000000000,100000000000000000,100000000000,1
2010061305030800,8,1,0,0,100000000000000,100000000000,100000000000000000,1
2010061305030800,1,1,0,0,1000000,0,0,35
2010061305030800,7,1,0,0,1000000000,1000000,1000,4
2010061305030800,7,1,0,0,10000000000000,1000000,1000,4
2010061305030800,7,1,0,0,100000000000,1000000,1000,3
2010061305030800,8,1,0,0,1000000,1000,1000000000,1
2010061305030800,8,1,0,0,1000000,1000,10000000000000,1
2010061305030800,8,1,0,0,1000000,1000000000,1000,1
2010061305030800,8,1,0,0,1000000,10000000000000,1000,1
2010061305030800,1,1,0,0,10000000,0,0,25
2010061305030800,7,1,0,0,10000000000000,100000000000,10000000,3
2010061305030800,7,1,0,0,100000000000000000,10000000000000,10000000,3
2010061305030800,7,1,0,0,10000000000000,100000000,10000000,3
2010061305030800,1,1,0,0,10000000000,0,0,35
2010061305030800,7,1,0,0,100000000000000,10000000000,1,5
2010061305030800,7,1,0,0,10000000000,10000000,1,5
2010061305030800,7,1,0,0,10000000000,10000,1,3
2010061305030800,8,1,0,0,10000000000,1,100000000000000,1
2010061305030800,8,1,0,0,10000000000,1,10000000,1
2010061305030800,8,1,0,0,10000000000,100000000000000,1,1
2010061305030800,8,1,0,0,1,10000000000,100000000000000,1
2010061305030800,8,1,0,0,10000000000,10000000,1,1
2010061305030800,8,1,0,0,1,10000000000,10000000,1
2010061305030800,8,1,0,0,10000000000,1,10000,1
2010061305030800,1,1,0,0,100000000,0,0,19
2010061305030800,7,1,0,0,10000000000000000,100000000000,100000000,2
2010061305030800,7,1,0,0,100000000000,100000000,10000000,2
2010061305030800,7,1,0,0,100000000000,100000000,100,2
2010061305030800,1,1,0,0,10000000000000000,0,0,21
2010061305030800,7,1,0,0,10000000000000000,10000000000000,10,2
2010061305030800,7,1,0,0,10000000000000000,100,10,2
2010061305030800,7,1,0,0,10000000000000000,1000000000000,10,1
2010061305030800,1,1,0,0,100000000000,0,0,16
2010061305030800,7,1,0,0,100000000000,100,1,1
2010061305030800,7,1,0,0,100000000000,10000000,1,1
2010061305030800,1,1,0,0,1000,0,0,24
2010061305030800,7,1,0,0,1000000000,100000000,1000,4
2010061305030800,7,1,0,0,1000000000,10000000,1000,2
2010061305030800,7,1,0,0,100000000000000,1000000000,1000,2
2010061305030800,1,1,0,0,100000000,0,0,14
2010061305030800,7,1,0,0,100000000000,100000000,100,1
2010061305030800,7,1,0,0,100000000000,10000000000,100000000,1
2010061305030810,1,1,0,0,10000000000000000,0,0,28
2010061305030810,7,1,0,0,10000000000000000,10000000,1000000,3
2010061305030810,7,1,0,0,10000000000000000,1000000,100000,2
2010061305030810,1,1,0,0,10000000000000000,0,0,18
2010061305030810,7,1,0,0,10000000000000000,10000000000,100,1
2010061305030810,7,1,0,0,10000000000000000,1000000000000000,10000000000,1
2010061305030810,1,1,0,0,10000,0,0,17
2010061305030810,7,1,0,0,100000000000000000,1000000000000000,10000,2
2010061305030810,7,1,0,0,1000000000000000,10000,1000,2
2010061305030810,7,1,0,0,1000000000000000,1000000000,10000,2
2010061308040800,1,1,0,0,100000000000000,0,0,34
2010061308040800,7,1,0,0,100000000000000,1000000000000,10000000000,7
2010061308040800,7,1,0,0,100000000000000,10000000000,10000,6
2010061308040800,7,1,0,0,100000000000000,10000000000000,10000000000,6
2010061308040800,8,1,0,0,100000000000000,10000000000,1000000000000,1
2010061308040800,8,1,0,0,100000000000000,10000000000,10000,1
2010061308040800,8,1,0,0,100000000000000,10000000000,10000000000000,1
2010061308040800,8,1,0,0,10000000000,100000000000000,1000000000000,1
2010061308040800,8,1,0,0,10000000000,100000000000000,10000,1
2010061308040800,8,1,0,0,100000000000000,1000000000000,10000000000,1
2010061308040800,8,1,0,0,100000000000000,10000,10000000000,1
2010061308040800,8,1,0,0,10000000000,100000000000000,10000000000000,1
2010061308040800,8,1,0,0,100000000000000,10000000000000,10000000000,1
2010061308040800,1,1,0,0,100000000000,0,0,26
2010061308040800,7,1,0,0,100000000000,100000000,1000000,3
2010061308040800,7,1,0,0,100000000000,1000000000,100000000,3
2010061308040800,7,1,0,0,100000000000,100000000,1000,2
2010061308040800,1,1,0,0,100000000,0,0,30
2010061308040800,7,1,0,0,1000000000000000,100000000,100,5
2010061308040800,7,1,0,0,1000000000000000,1000000000000,100000000,5
2010061308040800,7,1,0,0,1000000000000000,10000000000,100000000,3
2010061308040800,8,1,0,0,100000000,1000000000000000,100,1
2010061308040800,8,1,0,0,100000000,1000000000000000,1000000000000,1
2010061308040800,8,1,0,0,100000000,100,1000000000000000,1
2010061308040800,8,1,0,0,100000000,1000000000000,1000000000000000,1
2010061308040800,8,1,0,0,1000000000000000,100000000,100,1
2010061308040800,8,1,0,0,1000000000000000,100000000,1000000000000,1
2010061308040800,1,1,0,0,10000000000,0,0,21
2010061308040800,7,1,0,0,10000000000000000,100000000000,10000000000,4
2010061308040800,7,1,0,0,10000000000000000,10000000000,100000000,3
2010061308040800,1,1,0,0,100000,0,0,31
2010061308040800,7,1,0,0,10000000000000,100000000000,100000,1
2010061308040800,7,1,0,0,100000000000000,100000000000,100000,1
2010061308040800,7,1,0,0,100000000000,10000000000,100000,1
2010061308040800,1,1,0,0,100000000000000000,0,0,23
2010061308040800,7,1,0,0,100000000000000000,10000000,1000000,6
2010061308040800,7,1,0,0,100000000000000000,1000000000,10000000,4
2010061308040800,7,1,0,0,100000000000000000,100000000000000,10000000,3
2010061308040800,8,1,0,0,100000000000000000,10000000,1000000,1
2010061308040800,8,1,0,0,10000000,100000000000000000,1000000,1
2010061308040800,8,1,0,0,100000000000000000,1000000,10000000,1
2010061308040800,8,1,0,0,10000000,1000000,100000000000000000,1
2010061308040800,1,1,0,0,10000000,0,0,17
2010061308040800,7,1,0,0,10000000000,1000000000,10000000,2
2010061308040800,7,1,0,0,10000000000,100000000,10000000,1
2010061308040800,7,1,0,0,10000000000,10000000,10000,1
2010061308040800,1,1,0,0,1000000000000,0,0,32
2010061308040800,7,1,0,0,1000000000000000,1000000000000,1000000,3
2010061308040800,7,1,0,0,1000000000000000,1000000000000,10,2
2010061308040800,7,1,0,0,1000000000000000,1000000000000,1000000000,2
2010061308040800,1,1,0,0,100000,0,0,16
2010061308040800,7,1,0,0,10000000000000000,100000000,100000,1
2010061308040800,7,1,0,0,10000000000000000,10000000000000,100000,1
2010061308040810,1,1,0,0,1000000000,0,0,17
2010061308040810,7,1,0,0,1000000000000,100000000000,1000000000,1
2010061308040810,7,1,0,0,1000000000000,10000000000,1000000000,1
2010061308040810,1,1,0,0,10000000000000000,0,0,27
2010061308040810,7,1,0,0,10000000000000000,10000000000,10000000,8
2010061308040810,7,1,0,0,10000000000000000,10000000000,1000000000,5
2010061308040810,8,1,0,0,10000000000000000,10000000000,10000000,1
2010061308040810,8,1,0,0,10000000000000000,10000000,10000000000,1
2010061308040810,8,1,0,0,10000000000,10000000000000000,10000000,1
2010061308040810,8,1,0,0,10000000,10000000000000000,10000000000,1
2010061308040810,8,1,0,0,10000000000,10000000,10000000000000000,1
2010061308040810,8,1,0,0,10000000,10000000000,10000000000000000,1
2010061308040810,8,1,0,0,10000000000000000,10000000000,1000000000,1
2010061308040810,8,1,0,0,10000000000,10000000000000000,1000000000,1
2010061308040810,1,1,0,0,10000000,0,0,22
2010061308040810,7,1,0,0,10000000,100000,100,2
2010061308040810,7,1,0,0,10000000,1000000,100,2